Intent,Response
"Hello Mai, how are you?","Hello, nice to meet you. Thank you for asking, I am doing amazing, I hope you are doing good too!"
"Yes I am, thank you","So, how can I help you?"
I don't know anything about Infraradian Rhythm. Can you please help me learn about it?,"Sure. The infradian rhythm is one of the two internal timekeepers experienced by women. People with male physiology only experience the circadian rhythm. People with female physiology experience both. The infradian rhythm and its four phases track with your menstrual cycle, and alongside affecting the reproductive hormones, it also has an influence the other parts of your body. The infradian rhythm affects our physiology cyclically which is why it supports your body in a cyclical way too. As a woman yourself, in order to have optimal hormonal and overall health, it is ideal that you eat, move, supplement and live in line with this infradian rhythm, which is expressed in your mesntrual cycle in four distinct phases, namely the follicular, ovulatory, luteal and menstrual phase."
What happens to my body when I am in the menstrual phase I want to know what happens to my body when I am in the menstrual phase,"Thank you for asking that! A few changes happen. The corpus luteum  it is a vital yet temporary organ that plays a crucial role in fertility in your body gets reabsorbed. Simultaneously, progesterone levels decline, your uterus sheds the thick endometrial lining that it has built up in the luteal phase and estrogen hits its lowest point just before your bleed"
Does any changes occur in my brain too?,"Yes, it does! The left analytical and right feeling hemispheres of your brain communicate the most during this time, which means its a great time to integrate how you feel about situations in your life and make decisions about how to proceed. This is an ideal time to reflect and journal. "
When does the Follicular Phase happen,Your follicular phase happens 7 to 10 days after your period ends. 
How does my body change during the follicular phase,"A few changes occur. Your reproductive hormones are at their lowest level which is where they were during your bleed during the first part of this phase. Estrogen starts to ramp up during the later part of this phase and the lining of your uterus starts to thicken. Your ovaries get ready to release an egg during ovulation the next phase, metabolism is slower and resting cortisol levels are lower. No significant progesterone or testosterone production during this time and you can feel a little tired during this phase if your hormones are unbalanced."
What happens to my brain when I am in my follicular phase,"The subtle increase in estrogen has you interested in planning out new things and exploring new ideas during this time. Symbolically, this is a phase of new beginnings. "
When does the Ovulatory Phase happen,"It happens 3 to 4 days in the middle of your cycle, right after the follicular phase which lasts for 7 to 10 days and before the luteal phase which is the phase just before your period."
What happens to my body when I am in the ovulatory phase,A few changes occur in your body. Estrogen surges and luteinizing hormone LH arrives on the scene to spark the release of an egg. The lining of your uterus gets thicker and testosterone surges then quickly goes back down
What happens to my brain when I am in the ovulatory phase,"The hormone shift during this phase activates the verbal and social areas of your brain. Youre apt to feel your most social and communicative during this phase, and it is a good time to plan conversations with friends and significant others. "
i do not remember the next phase after the ovulatory phase,"Don't worry, I am here to tell you. The luteal phase is the phase that happens after ovulation"
How long does it lasts,It happens 10 to 14 days after ovulation and before your bleed.
What happens to my body when I am in the luteal phase,"A few changes occur in your body. Estrogen levels continue to rise, your uterine lining continues to thicken and your progesterone levels start to rise. Toward the end of the luteal phase, estrogen, testosterone, and progesterone peak and then begin to drop, hitting their lowest levels just before your period. Pre Menstrual Syndrome during this phase is caused by too much estrogen in the body relative to progesterone, or estrogen dominance and metabolism speeds up."
Does my brain change in this phase too?,"Yes, it does. In fact, your brain goes through changes in every phase. Hormone levels during this phase prime your brain to be good at focusing on details and wrapping up projects. Towards the end of this phase, as your hormone levels plummet, you will have less energy and feel more inclined to focus inward rather than on socializing. "
Thank you,No problem
Hi,"Hello I am Mai, nice to meet you."
I was having insomnia and the following week I got my periods. Is there any link between them?,"The week before your periods, if you have too much estrogen relative to progesterone, you can experience PMS premenstrual syndrome symptoms, including insomnia. Estrogen dominance is triggered by a long list of common factors, including stress, lack of selfcare, poor diet, sedentary lifestyle, and exposure to environmental toxins. Some common environmental factors make the situation even worse. Drinking caffeine is one. If you have adrenal fatigue, you may experience PMSrelated insomnia, where you lay in bed exhausted but cant fall asleep. Micronutrient deficiencies, including low levels of magnesium, zinc, andor selenium can also fuel the problem. Magnesium helps promote relaxation; selenium may help boost progesterone and bring your reproductive hormones back into balance; studies show that zinc can help improve sleep quantity and quality. "
