Intent,Response
Hi Mai,Hey! How can I help you today?
I feel anxious,Why do you feel that way?
Because I dont understand periods,"I understand why you feel that way. Luckily, I am quite knowledgeable in menstruation. Feel free to ask me any questions you may have, I am here for you. "
What is a period?,"A period is the part of the menstrual cycle when a woman bleeds from her vagina for a few days. For most women this happens every 28 days. but it's common for periods to be more or less frequent than this, ranging from day 21 to day 40 of their menstrual cycle."
I got my period and I haven't told my mom yet. It's really hard for me to talk about things like this. I have a lot of questions. What should I do?,"Lots of girls have the same concern. Your mom will be one of your best resources when you have questions about your period, so try to start the conversation yourself! Know that she will be understanding and helpful. Actually, she may be your best friend during this time in your life. Still dont feel like you can talk to your mom? An aunt, friends mom or older sister are also great women to ask."
"Will anyone, like boys or my mom, notice when I have my period?","No  not unless you tell them! If they ask you, its totally up to you to share or not."
Can I ask you more questions about my period?,Yes! Feel free to ask me your questions.
Why am I having it?,"The body produces an egg every month. The uterus lining gets thicker to prepare for a egg that is fertilized in case the woman becomes pregnant. If the egg is not fertilized, the body gets rid of it. The lining is then released from the body as blood through the vagina. This monthly process is called menstruation or a period. So when a girl has her period, her body is just getting rid of a small amount of blood and some unneeded tissue. It is a natural, normal body process for all females as they become women and mature physically."
How long will it last?,"Your period can last between 3 and 8 days, but it will usually last for about 5 days. The bleeding tends to be heaviest in the first 2 days."
Is it a one time occurance?,A period occurs every 21 to 35 days starting from around age 12 and occuring upto age 50.
"What if I have my period twice in one month, is that normal?","Yes, its possible. Why? Some months, your menstrual cycle may last for more or fewer days than the previous month. Or, your cycle may start earlier or later than before. If you usually have a regular cycle, a change in your cycle could indicate a medical condition. In case of any concerns, please talk to your doctor to get individual medical advice."
It seems too difficult to keep track of when it will occur,You can track your period with an app called Clue. It is available on the Playstore. Here is a quick link to the app:https:helloclue.com
"Mine dont occur on those times, they are irregular","Your period is irregular if it comes more frequently than 21 days, or you go 35 days or more between periods."
Why are they irregular?,"Sometimes irregular periods can be caused by some medicines, exercising too much, having a very low or too high body weight, and hormonal imbalances. Please check with your doctor if you feel you have irregular periods. "
How should I treat this?,"For irregular periods there usually is no immediate reason to consult your doctor. But if you are concerned, please do so. If you need contraception your doctor can help you with that by prescribing you hormonal contraceptives which do not only reliably prevent unintended pregnancies but can also stabilize your menstrual cycle so that you can better plan for your periods."
Can these irregularities lead to other health problems?,"The presence of menstrual irregularities can be a sign of other health problems such as thyroid disease, POI, endometriosis, PCOS, polyps, and uterine fibroids If left untreated, menstrual irregularities can lead to or contribute to other conditions. These possible conditions vary depending on the type of menstrual irregularity, but some include thickening of the lining of the uterus called endometrial hyperplasia, low bone density, and irondeficient anemia. It is important for a woman with a menstrual irregularity to speak to a health care provider to determine the cause of the irregularity and to receive appropriate treatment as necessary."
Can they lead to cancer?,"Menstrual irregularities can sometimes be a sign of an underlying condition that may be associated with a higher risk for cancer. However, heavy or prolonged menstrual bleeding are not known to be associated with cancer."
Oh okay. Thank you Mai,Anytime! Feel free to message me again whenever you have a question.
Can I share something else with you?,Of course.
I am afraid I wont be able to go school during my period,"Your period doesnt have to stop you from doing things you usually do. You can still go to school, help at home, see your friends, play sports and do all the things you would normally do."
What should I do when I get my period?,You should wash your hands with soap and water and place a sanitary pad in your underwear. Replace the used pad with a new pad every four to eight hours.
Where can I get these sanitary or menstural pads?,You can buy them at the nearest store or order them online through DARAZ. Here is a link for it: https:www.daraz.pkcatalog?qpadskeyorissfrominputspma2a0e.searchlist.search.go.8c6029b8wWUnZl
I feel ashamed of buying them,"You should not be ashamed about it as menstruation is a completely natural process and it is important maintain them properly, that includes using the right products.  "
What are some other good sanitary products?,"Most girls dont know that there are various different types of sanitary products available for them. These include Period Sponges, Tampons, Menstrual Cup, Sanitary Napkin, Period Panties, Panty Liners. In Pakistan, pads are the most popular and easily available."
What are period sponges?,"A menstrual sponge or period sponge is a type of sponge that is reusable. Wet the sponge with warm water to soften it, squeeze to remove excess water and carefully insert into your vagina. It will absorb and retain the blood inside of your vagina."
What are tampons?,"A tampon is a menstrual product designed to absorb blood and vaginal secretions by insertion into the vagina during menstruation. Unlike a pad, it is placed internally inside of the vaginal canal. Once inserted correctly, a tampon is held in place by the vagina and expands as it soaks up menstrual blood."
What are menstrual cups?,A menstrual cup is a menstrual hygiene device which is inserted into the vagina during menstruation. Its purpose is to collect menstrual fluid. Menstrual cups are usually made of flexible silicone.
What are sanitary napkins?,"A menstrual pad, or simply pad, is an absorbent item worn by women in their underwear when menstruating."
What are menstrual pads?,"A menstrual pad, or simply pad, is an absorbent item worn by women in their underwear when menstruating."
What are period panties?,Period underwear are absorbent clothing designed to be worn during menstruation.
What are panty liners?,A pantyliner is an absorbent piece of material used for feminine hygiene. It is worn inside the underwear. Some uses include absorbtion of vaginal discharge and light menstrual flow.
Can I use these products at night for my period?,"You can use a menstrual pad, period sponge, tampon, or a period panty at night to absorb your period."
Do I need to change my pad?,"In order to take care of your hygiene, It is important to change your pad every four to eight hours."
What other ways can I take care of my hygiene during my period?,You should regularly wash your labial area with clean water. You should also dispose of your used period products hygienically.
Is it normal to get cramps during my period?,Some girls and women get cramps or other symptoms during their periods that may be uncomfortable. This is typically due to the hormones your body releases during menstruation that cause the uterus to contract so it can shed its lining.
How can I manage them?,"To reduce period cramps and pain you can try the following things: placing a heating pad on your belly or lower back, or having a hot bath. Cramps are a pretty standard part of having your period. But if your period pain is so painful that you cant take part in everyday life, please consult your doctor."
I think my period cramps are very painful,"Painful period cramps could be caused by heavy menstrual bleeding or by endometriosis. In endometriosis, the cells or tissue lining the uterus, grow outside the uterus. You should see your doctor who can do a blood test and get your history to help you get better."
What colour is a normal period?,Healthy period blood typically varies from bright red to dark brown or black. Blood or discharge that is orange or grey may indicate an infection.
My periods are a weird color. What should I do,Period color ranges from bright red to dark brown and black. The color of period blood depends on how long the blood stays in the uterus and vagina. 
My period color is not bright red,What color is your period flow?
Dark red,"This color suggests a slower flow. For most people, the blood gets darker over the course of the cycle. This is because older blood from the deeper parts of the uterine lining is shed later. Brown blood is also common in the weeks after you give birth. However, in some cases dark red or brown blood may be an early sign of pregnancy and black blood may be a sign of a vaginal blockage. If these colors are unexpected or abnormal for you, talk to your healthcare provider."
Sometimes it is even black,"This color suggests a slower flow. For most people, the blood gets darker over the course of the cycle. This is because older blood from the deeper parts of the uterine lining is shed later. Brown blood is also common in the weeks after you give birth. However, in some cases dark red or brown blood may be an early sign of pregnancy and black blood may be a sign of a vaginal blockage. If these colors are unexpected or abnormal for you, talk to your healthcare provider."
I also wanted to ask what is hormonal imbalance?,"A hormonal imbalance means that women or girls have too much or too little of a certain hormone like estrogen and progesterone. Estrogen, progesterone, testosterone, thyroxin, insulin and cortisol levels can be detected in the blood through blood tests. Please talk to your doctor for individual medical advice."
How do I know if I have this?,"There are various symptoms of an hormonal imbalance including heavy or irregular periods, thinning hair or hair loss, weight gain or trouble losing weight, night sweats and many more."
How is it different from irregular periods?,"There are various symptoms of an hormonal imbalance including heavy or irregular periods, thinning hair or hair loss, weight gain or trouble losing weight, night sweats and many more."
When do periods start?,"Periods usually begin around the age of 12, although some girls will start them earlier or later than that. A delay in starting periods isn't usually a cause for concern. Most girls will be having regular periods by age 16 to 18"
Is it normal for them to start earlier than that?,Some girls will start them earlier. Starting periods early isn't usually a cause for concern. Most girls will be having regular periods by age 16 to 18.
Is it normal for them to start later than that?,Some girls will start them later. A delay in starting periods isn't usually a cause for concern. Most girls will be having regular periods by age 16 to 18
Will I be able to get pregnant during it?,"It is very unlikely to get pregnant during your period, however it is still possible."
Can muslims have sex during periods?,"No. Just like muslims cannot pray, fast or touch the Holy Book, the religion of Islam does not permit this."
What are the small clots in my period?,"It's perfectly normal to notice some clumps from time to time during your period. These are blood clots that may contain tissue. As the uterus sheds its lining, this tissue leaves the body as a natural part of the menstrual cycle. So clots of tissue are usually nothing to be concerned about."
"Sometimes when Im between periods, I get white stuff in my underwear. Is that normal?","Yes, its absolutely normal to experience a white discharge. It varies throughout your cycle. It is common to have it at the beginning and the end of your cycle. As you approach ovulation the release of the egg you may notice mucous down there it kind of looks like egg white. Your body tends to produce the greatest amount of this type of vaginal discharge on the day of ovulation so you may want to wear a panty liner at this time."
Why is there white discharge before my period?,The white discharge you may see before your period is known as leukorrhea. It's filled with fluid and cells that are being shed from the vagina. It's when the hormone progesterone peaks in your body.
What about the small clots in my period?,"It's perfectly normal to notice some clumps from time to time during your period. These are blood clots that may contain tissue. As the uterus sheds its lining, this tissue leaves the body as a natural part of the menstrual cycle. So clots of tissue are usually nothing to be concerned about."
What is premenstrual syndrome?,"Most common premenstrual symptoms are depressive mood, angry outbursts, irritability, anxiety, confusion, social withdrawal, breast tenderness, abdominal bloating, headache, and swelling of extremities. Medical researchers are still working on identifying the exact cause of these symptoms, but it is certain that they are linked to the hormonal fluctuations during the menstrual cycle. Please talk to your doctor if you are heavily suffering from these symptoms."
How can I manage its symptoms?,"You may want to exercise, skip salty foods, and cut back on caffeine the week before your period. If your mood is still tricky, talk to your doctor. They may suggest you take medication."
Why do we get periods,"The body produces an egg every month. The uterus lining gets thicker to prepare for a egg that is fertilized in case the woman becomes pregnant. If the egg is not fertilized, the body gets rid of it. The lining is then released from the body as blood through the vagina. This monthly process is called menstruation or a period. So when a girl has her period, her body is just getting rid of a small amount of blood and some unneeded tissue. It is a natural, normal body process for all females as they become women and mature physically."
At what age do periods start?,"Periods usually begin at around the age of 12, although some girls will start them earlier or later. A delay in starting periods isn't usually a cause for concern. Most girls will be having regular periods by age 16 to 18"
At what age do periods end?,Menopause is the time that marks the end of your menstrual cycles. It's diagnosed after you've gone 12 months without a menstrual period. Menopause can happen in your 40s or 50s.
How long does a period last?,"Your period can last between 3 and 8 days, but it will usually last for about 5 days. The bleeding tends to be heaviest in the first 2 days."
Isn't Period Blood Just Regular Blood?,"Period blood is made up of the same blood that is flowing through your veins, but it also contains tissue that has been shed from the lining of your uterus. That's why its color and consistency are different from what you would see if you, say, cut your finger."
Do boys get periods?,"No, they do not. Only females do."
What does a period feel like?,"The actual flow of your period doesnt feel like much when its happening. Chances are, you wont even feel it coming out. When you actually start your period, you may feel some dampness in your private area  this may be caused by a few spots of blood on your underwear."
Does having your period smell?,"Healthy periods can have a slight smell of blood. They may even have a slight metallic smell from iron and bacteria, something like a copper coin. Generally speaking, period odors aren't noticeable to others. Good hygiene practices can also combat normal period odors and make you more comfortable during menstruation."
Does having your period hurt?,"Menstruation itself doesnt hurt, but some girls and women get cramps or other symptoms during their periods that may be uncomfortable. This is typically due to the hormones your body releases during menstruation that cause the uterus to contract so it can shed its lining."
Is there anything I wont be able to do when I have my period?,"Your period doesnt have to stop you from doing things you usually do. You can still go to school, help at home, see your friends, play sports and do all the things you would normally do."
How much blood do I lose during my period?,"Most girls lose about 60 milliliters about 4 tablespoon of menstrual fluid during their periods mostly in the first few days. Not to worry, though  your body makes up for it."
Why are there small clots in my period,"It's perfectly normal to notice some clumps from time to time during your period. These are blood clots that may contain tissue. As the uterus sheds its lining, this tissue leaves the body as a natural part of the menstrual cycle. So clots of tissue are usually nothing to be concerned about."
I have an emergency concern,Aga Khan University Hospital Karachi: 0307 2747074Aurat Foundation Karachi: 582 4694 Shirkat Gah Karachi: 432 21623 Aurat Foundation Lahore: 595 90279 Shirkat Gah Lahore: 583 8815Aurat Foundation Peshawar: 260 89568 
Can I go to school during my period,"Your period doesnt have to stop you from doing things you usually do. You can still go to school, help at home, see your friends, play sports and do all the things youd normally do."
What is menopause?,Menopause is when your periods stop due to lower hormone levels. This usually happens between the ages of 45 and 55.
Is it normal to have a period twice in a month?,"Yes, its possible. Why? Some months, your menstrual cycle may last for more or fewer days than the previous month. Or your cycle may start earlier or later than before. If you usually have a regular cycle, a change in your cycle could indicate a medical condition. In case of any concerns, please talk to your doctor to get individual medical advice."
What are the reasons for less bleeding during periods?,"Lighter periods than usual do not usually cause concern. People often find their menstrual flow varies from monthtomonth, and some months are naturally lighter than others. The following factors can cause periods to be lighter than usual: a lack of ovulation, being underweight, stress, pregnancy or a medical condition. Please talk to your doctor to get individual medical advice. "
Are cyclerelated symptoms common?,"You are not alone! Cyclerelated symptoms are experienced by about eight out of ten women at some stage during their fertile lives. If you complain about disturbances such as excessive cravings, you may experience symptoms that differ from those your sister or your best friend is suffering from. Even if your symptoms are identical to someone elses, you may feel them more or less intensely. If you suffer from any of these symptoms on a regular basis, always a few days before your period sets in, talk to your doctor."
Is it normal to have no pain during periods?,"Period pain varies person to person and It may also vary with each period. Some periods may cause little or no discomfort, while others may be more painful. Sometimes you may get pelvic pain even when you do not have your period."
Why Do I Feel So Full During My Period?,You may be experiencing bloating. Bloating usually occurs a week before and a few days into the period. Bloating is the cause of hormonal changes in your body.
What is puberty?,"Between the ages of 815 usually, all girls go through that life stage known as puberty. It starts with a rapid growth spurt  so you grow a few inches, your breasts bud, and then gasp  hair in new places! Finally you may notice a sticky white discharge on your underwear. Its ok! This is just your body prepping for its first period. Once that happens, youve officially joined the club."
How do periods affect weight,"Your weight may be affected by hormonal fluctuations, water retention, snacking and not exercising because of period pains. You may gain 1 to 2kg which generally goes away within a few days"
Is Premenstrual Syndrome real?,"Yes, PMS premenstrual syndrome is not a myth! 8 out of 10 women do experience some discomfort shortly before their monthly period sets in. These symptoms are caused by the hormonal changes of the cycle and for many women they are so severe that they impact on their daily lives  both in personal and working aspects."
How Can I Control PMS Symptoms?,"You may want to exercise, skip salty foods, and cut back on caffeine the week before your period. If your mood is still tricky, talk to your doctor. They may suggest you take medication."
Why Do I Crave Junk Food?,"We're not sure what exactly causes cravings and other PMS symptoms, but it seems like hormones are involved. Some women really want foods like ice cream, chocolate, and potato chips when their period comes. Need something sweet? Reach for fruits instead. Want fatty, fried, or greasy foods? Choose healthier fatty foods like salmon and nuts."
Should I tell my husband that I am on my period?,"Remember, theres no shame in talking about your period or the changes in your body! Its a natural and healthy process and getting it monthlyish means your body is doing its job. Plus, talking about your period openly with your partner is a significant first step to get into other important discussions, like birth control or sex. If you dont feel comfortable talking about your period yet, consider whether it might be better to hold off on any decision to become sexually active until you and your partner can communicate openly about these topics."
