Intent,Response
Hello,Hi! How can I help you today?
I feel scared,Why do you feel scared?
I do not know what is happening to me,Can you describe what is happening?
I am bleeding,Where are you bleeding from?
I am bleeding from my vagina,"This is the cause of menstruation, also known as a period, which is completely normal and every woman experiences. There is nothing to be scared of. If you have any questions regarding periods, feel free to ask me."
What is menstruation?,"Menstruation, also known as a period, is part of the menstrual cycle when a woman bleeds from her vagina for a few days. For most women this happens every 28 days. but it's common for periods to be more or less frequent than this, ranging from day 21 to day 40 of their menstrual cycle"
Why am I having it?,"A period happens because of changes in hormones in the body. Hormones are chemical messengers. The ovaries release the female hormones estrogen and progesterone . These hormones cause the lining of the uterus or womb to build up. The builtup lining is ready for a fertilized egg to attach to and start developing. If there is no fertilized egg, the lining breaks down and bleeds. Then the same process happens all over again."
I feel ashamed of it,I understand how you feel. Periods are a normal occurance for every woman. There is nothing to be ashamed of. I am here to help you with any questions you have about your cycle.  
It makes me feel dirty,You do not need to feel dirty during your period. Periods are natural. 
I am scared of talking about periods,It is understandable. But you do not need to be scared while sharing with me. Anything that you say is safe with me. I will not share it with anyone.
"So, can I share anything about my periods with you?",Yes you can! Please share any menstruation related query or problem that you have.
Why does my back hurt near my period?,Back pain is a common symptom of periods.
Is that normal?,Mild back pain is normal and is a symptom of menstruation.
What can I do about my back hurting?,Place a hot water bottle or a heated cloth on your back for a few minutes to soothe the pain.
What are other symptoms?,"Before or during periods you can have the following symptoms inlcuding bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts"
I feel dirty during my period,You do not need to feel dirty during your period. Periods are natural. 
Can I shower during menstruation,You can shower from the first day till the last. Having a shower does not effect your period in any way.
Should I care about my cleanniness during my period,You should care about cleanliness during your period. It is important to take care of your hygiene during your period to avoid health problems.
How can I take care of my hygeine during periods," It is important to wash your hands before and after changing your padcloth. You can use soap, handwash, sanitizer or handwash in order to do it. It is also important to wash your private parts with water before changing your pad every single time."
Why is it important to take care of yourself during menstruation?,"By taking care of menstruation you can avoid problems such as urinary tract infection, fear of spotting, rashes, anxiety, and bad odour."
Can I eat what I normally eat during my period?,Yes you can!
What about foods like tamarind and curd?,Food does not have anything to do with your flow!
Is it normal for my back to hurt during my period?,Mild back pain is normal and is a symptom of menstruation.
Why do women have periods?,"A period happens because of changes in hormones in the body. Hormones are chemical messengers. The ovaries release the female hormones estrogen and progesterone . These hormones cause the lining of the uterus or womb to build up. The builtup lining is ready for a fertilized egg to attach to and start developing. If there is no fertilized egg, the lining breaks down and bleeds. Then the same process happens all over again."
I feel ashamed of my period,I understand how you feel. Periods are a normal occurance for every woman. There is nothing to be ashamed of. I am here to help you with any questions you have about your cycle.  
What are other symptoms of periods?,"Before or during periods you can have the following symptoms inlcuding bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts"
What are the symptoms of periods?,"Before or during periods you can have the following symptoms inlcuding bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts"
Can I shower on the first day of menstruation?,You can shower from the first day till the last. Having a shower does not effect your period in any way.
Can I eat foods like tamarind and curd during menstruation or will they disturb my flow?,Food does not have anything to do with your flow!
Should I stay away from plants during my period?,You dont need to do that. Plants dont have any effect on your flow.
Can I go near or touch plants during my periods?,Yes you can!
Should I sleep in a different room when menstruating?,Menstruation is not contagious and causes no harm to anyone in the same room
Does physical activity distrub the menstrual flow,"No it does not. Infact, some excercise and sports can actuslly relieve period pain"
Can I exercise during periods,"Of course! You can take on whatever sport you love! Run, bike, dance, rock climb! These are just some of the socalled strenuous activities you can absolutely do when you have your period. Your period is not a sickness and you dont need to rest or take it easy. In fact, healthcare professionals recommend being active as a way to reduce those awful cramps."
Can I use a cloth for menstruation,We dont recommend using kapra but if using a cloth pad hygienically is okay.
I am getting cramps,Menstrual cramps are throbbing or cramping pains in the lower abdomen. Most women experience cramps just before or during the early days of their period.
I have cramps,Menstrual cramps are throbbing or cramping pains in the lower abdomen. Most women experience cramps just before or during the early days of their period.
Hi Mai,Hello! How can I be of service?
"Hello Mai, hope you are well","Hello! I am well, thank you. How can I help you today?"
Yes,Feel free to ask me any questions about menstruation.
No,Very well then. I am here whenever you have a question.
I got my period,"This is completely normal and every woman gets periods. If you have any questions regarding periods, feel free to ask me."
Okay,Great! I am here if you have more questions.
"Okay, thanks","No problem, happy to help! I am here if you have more questions."
"Okay, got it",Great! I am here if you have more questions.
My back hurts,You may be experiencing what is known as menstrual cramps. Menstrual cramps are throbbing or cramping pains in the lower abdomen. Most women experience cramps just before or during the early days of their period.
I dont feel very good,Why do you feel that way?
I missed my period,"If you don't have any known condition affecting your menstrual cycle and have regular periods, your period should start within 21 to 35 days of your last period, depending on your normal cycle. If it has been several days and you still have not gotten your period, there may be a chance that you are pregnant. Take a pregnancy test and consult a doctor."
Ok,Great! I am here if you have more questions.
I dont have any questions,"It was nice talking to you, take care!"
No questions,"It was nice talking to you, take care!"
Bye,"It was nice talking to you, take care!"
what are pads,"A menstrual pad, or simply pad, is an absorbent item worn by women in their underwear when menstruating."
what is a pad,"A menstrual pad, or simply pad, is an absorbent item worn by women in their underwear when menstruating."
I dont understand,Try to rephrase your question and I will try my best to answer it.
goodbye,"It was nice talking to you, see you later!"
Im confused,Try to rephrase your question and I will try my best to answer it.
Where do you get your knowledge from?,"I get my knowledge from doctors who have verified that the information I have is correct, as well as authentic websites such as HelloClue and Always which contain verified and factual information."
How are you doing?,I am doing well. Do you have questions about menstruation for me?
How are you?,I am doing well. Do you have questions about menstruation for me?
Yes,Feel free to ask me.
I feel bloated,Abdominal bloating occurs when the abdomen feels tight or full. This may cause the area to appear larger. The abdomen may feel hard or tight to the touch. Bloating usually occurs right before or during the early days of a period.
What is bloating?,Abdominal bloating occurs when the abdomen feels tight or full. This may cause the area to appear larger. The abdomen may feel hard or tight to the touch. Bloating usually occurs right before or during the early days of a period.
I feel irritated,"You may be experiencing premenstrual syndrome or PMS. PMS occurs right before a women gets her period. PMS has the following symptoms inlcuding irritation, mood swings, bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts"
I feel sad,"You may be experiencing premenstrual syndrome or PMS. PMS occurs right before a women gets her period. PMS has the following symptoms inlcuding irritation, mood swings, bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, and tender breasts."
Good morning,Good morning! I am Mai. How can I help you today?
Good night,"Good night. It was nice talking to you, see you later!"
Hey Mai,Hello! How can I help you today?
Hey,Hello! How can I help you today?
Mai,Hello! I am Mai. How can I help you today?
