Intent,Response
What is Vaginal Discharge?,"Vaginal discharge is fluid that comes from the vagina and is not a period. It can be clear, white, or offwhite in color and have a ealstic like consistency."
How do I know if I this kind of discharge?,Normal vaginal discharge occurs in clear or white color. The color can vary throughout your cycle.It is common to have it at the beginning and the end of your cycle. As you approach ovulation the release of the egg you may notice mucous down there it kind of looks like egg white. Your body tends to produce the greatest amount of this type of vaginal discharge on the day of ovulation so you may want to wear a liner at this time. 
Are there other kinds of vaginal discharge?,"Yes. Physiological discharge and abnormal discharge. Physiological discharge usually occurs in the mid of menstrual cycle, also during pregnancy due to hormonal changes. This discharge does not smell and is clear. Abnormal discharge can be a caused by a yeast infection, menopause, or a sexually transmitted infection."
What are the types of Discharge when it comes to Vaginal Health?,"Physiological discharge and abnormal discharge. Physiological discharge usually occurs in the mid of menstrual cycle, also during pregnancy due to hormonal changes. This discharge does not smell and is clear. Abnormal discharge can be a caused by a yeast infection, menopause, or a sexually transmitted infection."
What are Nonsexually transmitted infections?,These are infections that are not transmitted sexually and include bacterial vaginosis and thrush.
What is Bacterial Vaginosis?,This infection is caused due to overgrowth of normal vaginal bugs. It causes discharge that has a fishy odour and grey in colour. The infection can be treated with antibiotics.
What is Thrush?,"This infection is caused due to candida, a fungi.It causes thick whitish creamy vaginal discharge, itching and redness around vagina. The discharge is odourless. Fungi usually tend to grow in a warm moist environment hence it is advised to keep the vagina area clean and dry."
What is the ideal Female Vagina PH balance?,"pH is the measure of acidity and it is measured on the scale of 014. Lower pH value less than 7 is considered acidic. The normal vaginal pH is acidic 3.84.5. This normal pH is maintained by the right balance of normal vaginal bugs, when this balance gets disturbed the pH gets affected that results in different infections.For instance, in case of bacterial vaginosis the vaginal pH gets alkaline and in case of thrush it gets more acidic."
What are the types of odorsmells can come from Vagina?,"There is a peculiar vaginal odour, apart from that there are other types of odours that signify any abnormality. Among the abnormal smells include fishy odour that occur in case of bacterial vaginosis and one of the sexuallly transmitted infections called trichomoniasis.If you are watching out for vaginal infection, usually there is some sort of discharge, redness and soreness of the private part along with bad odour."
I have rashes on my private parts. What should I do?,"There are different causes of rashes in the private part, some are due to infections and others are due to irritants or some other disease. Talking about irritants, you might be allergic to any sort of cloth material which you have never used in the past and its a new cloth to you. That is true for the detergents as well, as you might not know about the allergy to some chemical until you use it.Keep the private part dry and clean because moist and unhygienic practices make these rashes worse.The other causes could be infections like sexually transmitted or nonsexually transmitted infections, but they occur with some other problems like discharge and lumps and bumps in the private part. If you think your rashes are due to some irritant and even then they dont go away even after changing the material that was the irritant according to you, you must see your doctor to rule out other possible causes of the rash."
What are Sexually Transmitted Infection?,Sexually Transmitted Infection STI is a type of  infection that can be transmitted from one person to another while having sex. There are several different types of STI caused by different sorts of bugs. STIs often have no symptoms. 
What are the Types of Sexually Transmitted Infections?,"Well, several bugs such as bacteria, viruses, parasites can cause STI of varying severity. Most common among those are chlamydia and gonnorhea, but there are many others including syphilis, hepatitis B and C, trichomonas, Human papillomavirus HPV, herpes, and HIVAIDS."
What is chlamydia?,"It is a type of bacteria that can be passed fron one oerson to another while having sexual contact, it may cause  it may produce discharge from vagina or penis in males"
What is syphilis?,"syphilis is caused by a bug called Treponema pallidum. It causes ulcer over the private part genital region and if left untreated the condition may progress to further stages. The condition can be cured with antibiotics. If left untreated, syphilis can be passed from mother to baby. "
What is gonorrhoea?,Gonorrhoea i acquired causes abnormal discharge from the front passage. It can be successfully treated by taking a short course of antibiotics. .
What is Hepatitis B?,"hepatitis B gets transmitter via sexual contact. Its basically a virus that can get spread not just via sexual contact but also by transfusion of blood of a person who already has hepatitis b. This bug causes problems of liver in the long run. Thankfully, hepatitis b vaccines are available easily."
What is Hepatitis C?,"Hepatitis C is a bug virus that causes infection of the liver. The virus can spread by various means and one among them is via sexual contact. Other means include sharing infected needles, getting blood transfused from a person who is infected with hepatitis c. a baby can get the virus from mother, usually at the time of delivery. Unfortunately the bug doesnt produce any problems until the liver starts getting damaged and the functions of liver getting affected. Vaccination isnt available against the virus up till now and cure is also not possible. But drugs are available to slow down the progression of the disease."
What is trichomonas?,It is a bug that is spread via sexual contact. It causes vaginal discharge and itching in the private part. The infection may be treated by a short course of antibiotics.
What is Human papillomavirus HPV?,It is a virus that causes warts and cervical cancer. The virus is spread via close contact and sexual contact. 
What is herpes?,It is a virus that is spread via sexual contact. It causes painful blisters around the private. Unfortunately the virus cannot be completely cleared but treatment can be provided to get rid from the symptoms problem that it causes. 
What is HIVAIDS?,"Having HIV infection doesnt mean that a person has AIDS. HIV stands for Human Immunodeficiency virus that causes  AIDS acquired immunodeficiency syndrome. HIV infections spreads by sexual contact, from mother to baby during pregnancy or while giving birth, sharing contaminated needles, getting blood transfused from an HIV positive person.  Every person who is infected with HIV doesnt develop AIDS"
What are the symptoms of HIV?,"Initially, as soon as a person is infected with HIV it causes flulike symptom.Basically this virus attacks our immune system and it takes several years for the immune cells to get affected enough to produce symptoms. So, after several years the person starts getting infections oof several types from head ton to toe as the bodys immune system is too weak to combat the bugs. "
How can you prevent HIV?,"If you think you have been exposed to hiv and it hasnt been 72 hours yet then you can get Postexposure prophylaxisIf you use injection for any purpose, make sure that it hasnt been used previously.If one needs blood transfusion, make sure that its from an authentic blood bank that offers genuine screening of the donors blood.If you are a healthcare professional then you must take precautions to avoid needle stick injuriesIf you are pregnant and HIV positive, you must vist your gynaecologist as soon as possible and discuss the plan of treatment and mode of delivery of the baby to prevent baby from getting exposed to hiv"
I think I may have a Sexually Transmitted Infection.,"Do you have: 1. discharge from vagina? 2. Abnormal vaginal bleeding? 3. Any abnormality like like soreness, ulcer, rash, or swelling around the private part? 4. Pain while having sex? 5. Rarely, pain when you pass urine? 6. Are you worried if you some vaginal infection but they dont show any of these symptoms?"
Yes I think I have or may have these symptoms.,1 it is possible that you have a vaginal infection called sexually transmitted infection STI.
How can I treat Sexually Transmitted Infections?,"Treatment of STI depends upon the type of bug that has caused it. Some can be cured completely, like incase of chlamydia, gonorrhea, trichomonas  and syphilis. Whereas at times the infection cannot be cured completely for instance in case of herpes but one can be given treatment to reduce the flare up of disease.  Treatment of hepatitis B and C as well as of HIV is done with combination therapy and continuous monitoring, and despite of that the complete cure can not be possible. Treatment is to avoid symptoms, prevent complications and spread of the disease. It is also important to note that some STIs can spread therefore it is important to take necessary precautions to prevent the further spread of the disease."
What can I do to Prevent the spreading of Sexually Transmitted infections.,"Using condoms while sex  not only provides protection against transmission of STI but it is  also for contraception.If youre  diagnosed with STI then:. It is highly advised to avoid any kind of intimate sexual contact entirely if you have been diagnosed with STI. one can resume sexual activity after getting fully treated.  . DO NOT donate blood.. do not share needles, razors or any sharp objects meant for personal use.If you have any cut or any sort of wound, you should better keep it covered."
Yes I think I dont have or may have these symptoms.,"Then it is possible that you do not have these symptoms. However, you can still ask a doctor for help."
What is the difference between Sexually Transmitted Infection STI and Sexually Transmitted Disease STD?,"don't worry, both the terms refer to similar condition. previously the condition was called as sexually transmitted diseases, but having a disease means the conditions always present with symptoms, whereas it's not necessary to have symptoms with infections. because the said condition at times can be asymptomatic hence the name was changed to sexually transmitted infections."
What are some symptoms of Sexually Transmitted Infection STI?,"Some symptoms of Sexually Transmitted Infections include:1. discharge from vagina?2. Abnormal vaginal bleeding3. Any abnormality like like soreness, ulcer, rash, or swelling around the private part4. Pain while having sex5. Rarely, pain when you pass urine"
I have some of these symptoms  My partner has some of these symptoms.,You and your partner need to get treatment. You should get your and your partner checked by a doctor or expert for the type of infection that you may have.
How can I get treatment for Sexually Transmitted Infection STI?,"Treatment of STI depends upon the type of bug that has caused it. Some can be cured completely, like incase of chlamydia, gonorrhea, trichomonas  and syphilis. Whereas at times the infection cannot be cured completely for instance in case of herpes but one can be given treatment to reduce the flare up of disease.  Treatment of hepatitis B and C as well as of HIVy is done with combination therapy and continuous monitoring."
Im worried if I have an STI.,"There are certain screening tests that can help you to find out if you have any sort of STI or not.There are certain STIs that cause lesion that can be identified  on physical examination by looking at the private part for instance warts caused by human papilloma virus HPV.Other causes of STIs like chlamydia, gonorrhoea and trichomonas  can be found by swab test. A swab is like a cotton bud  the is rotated around the areas like vagina, penis, back passage, and sometimes even throat and the swab  is examined under microscope and or sent to laboratory for closer examination.Infections due to chlamydia can also be detected by urine test.For certain causes, like Hepatitis B, hepatitis C and HIV, blood tests are required. However, if you are worried then you should ask a doctor or expert for help."
Should I inform my partner? Is it necessary to inform my partner?,"STI treatment is incomplete without partner being investigated for STIs and treated as per need, Treatment of partner is essential because if partner carries the bug and it will again be transmitted to you while sex and you might end up with complications of STI. therefore, to end this vicious cycle of reinfections it is important to involve partner in the treatment plan."
I feel sad and depressed and cant share it with anyone.,I can understand how you feel. But you need to understand that its not your fault if you have STI. You should share it with your partner and doctor at least as it would help you in the treatment and to seek help for the sake of your health is your right and your own responsibility.you can also can seek expert psychologist support and talk your worries out if you have problems facing it . 
What are some facts about Sexually Transmitted Infections?,"There are certain factors that contribute to the spread of STIs. these include  Unsafe sexual practices, homosexuality, unsafe blood transfusion,iv drug abuse and reusing syringes.Not every type of vaginal discharge mean that a personal has STI. At times, vaginal discharge is normal. There are certain infections like thrush and bacterial vaginosis that may also cause vaginal discharge and itching but they are not STIsIf you are diagnosed with any STI it is extremely important to tell your partner about it and convince the partner to see a health professional for the sake of investigations and treatment. "
Does Contraception prevent against Sexually Transmitted infections?,Methods of contraception like pills do not protect against STI.Using condoms provide protection against spreading STIs but its not 100 .
What are some myths about Sexually Transmitted Infections?,"The virsues like hepatitis B and C and HIV is not passed on during normal social contact, such as holding hands, hugging, or sharing cups or crockery."
Does hepatitis B or hepatitis C spread through contact?,"The virsues like hepatitis B and C and HIV is not passed on during normal social contact, such as holding hands, hugging, or sharing cups or crockery."
What are some precautions that I should take if I have an Sexually Transmitted Infection STI?,It is advised to practice safe sex in order to avoid catching STIs. 
What is safe sex?,"Using condoms male and female while sex is a highly recommended barrier method. Although it doesnt provide 100 protection but does prevent spread of STIs to a greater extent.Even if you are in a committed relation, it is highly recommended to use condom as the STI bugs most of the times do not cause symptoms but can be spread to the other individual and start producing symptoms problems .  You need to be extremely cautious if you are a sex worker as sex with multiple partners is a huge risk factor of STI. use barrier methods and get screening tests done frequently so that even if there is an STI bug, even if thats not causing any obvious problems, can be treated to prevent any potential complications and also to avoid spread of the bug."
How can I prevent Sextually Transmitted Infections STI?,"You can prevent Sexually Transmitted Infections using Cervical Screening, Vaccines, or taking precautions."
What is Cervical screening?,Cervical screening  is a method to detect any abnormal changes in the cervix. One can be prevented from having cervical cancer and its consequences by a simple test. Cervical cancer is caused by HPV human papillomavirus.
How can Vaccines prevent against Sexually Transmitted Infections STI?,Vaccine against human papilloma virus HPV is available. 2 doses are recommended and it is advised to get the vaccine before you are sexually active.Hepatitis B vaccination is also available and its highly effective.
What are some precautions that I should take if I have an Sexually Transmitted Infection STI?,Condoms may be used to prevent spread of STIs. there are male and female condoms available.
How does Sexually Transmitted Infection STI affect fertility?,"STIs can cause impotency in  male and infertility in women, because usually patients do not seek expert advice and they rely on selfmedication owing to social taboos as STIs are sexborne diseases. Hence patients avoid seeing doctor. STIs if left untreated damage the reproductive tract hence cause difficulty in conceiving and infertility."
What are some other complications with Sexually Transmitted Infection STI?,"Some other complications that STIs can cause include Pelvic inflammatory disease, Cervical cancer and STI in pregnancy."
What is Pelvic inflammatory disease?,"STIs is one among the causes of pelvic inflammatory. It causes back pain, abnormal vaginal discharge and bleeding, tummy pain and fever. It is the infection of womb and its surrounding structures hence one may end up with pregnancy outside the womb ectopic pregnancy or infertility. The condition can be treated with antibiotics.  "
What is Cervical cancer?,Cervical cancer is caused by human papillomavirus HPV. it can be prevented by vaccination against HPV and can be early detected and treated by routine screening test.
What is STI in pregnancy?,If you are pregnant and have any of STIs it is highly possible that the infection might spread to  baby inside the womb or while giving birth. You must consult gynaecologist and discuss this issue in detail.
